sample_id,genotype,near_infrared,red,redEdge,blue,EVI,date,NDVI_calculated,NDRE_calculated,yield_g,plant_height_cm
21.0,RGA 1,141.33333333333334,35.333333333333336,101.33333333333333,27.0,1.7955630788964123,11 Apr 2022,0.6,0.1648351648351649,2815.0,63.5
21.0,RGA 1,179.57142857142858,45.0,140.42857142857142,27.571428571428573,1.3889304276317727,16 May 2022,0.5992366412213741,0.12232142857142865,2815.0,63.5
21.0,RGA 1,127.4,72.8,104.0,35.0,0.5507669400715942,18 Mar 2022,0.27272727272727276,0.101123595505618,2815.0,63.5
21.0,RGA 1,270.0,51.6,195.0,42.8,2.0790440833617923,27 May 2022,0.6791044776119403,0.16129032258064516,2815.0,63.5
22.0,S1,126.66666666666667,25.666666666666668,88.66666666666667,16.0,1.591648733815078,11 Apr 2022,0.6630196936542669,0.1764705882352941,980.0,128.0
22.0,S1,155.42857142857142,36.0,116.42857142857143,25.714285714285715,1.6842203733407335,16 May 2022,0.6238805970149254,0.14345769837099312,980.0,128.0
22.0,S1,152.6,87.2,121.8,40.6,0.5022686539438844,18 Mar 2022,0.27272727272727265,0.11224489795918367,980.0,128.0
23.0,S6,142.66666666666666,31.0,100.33333333333333,20.333333333333332,1.6567557423933261,11 Apr 2022,0.6429942418426103,0.17421124828532233,1167.0,124.0
23.0,S6,217.625,33.875,154.75,29.875,2.2931777448724158,16 May 2022,0.7306163021868787,0.16884860691507217,1167.0,124.0
23.0,S6,151.6,95.2,122.4,42.4,0.4222815695048644,18 Mar 2022,0.22852512155591567,0.10656934306569339,1167.0,124.0
24.0,BS11,146.66666666666666,31.0,98.0,19.333333333333332,1.5577408197451972,11 Apr 2022,0.6510318949343339,0.19891008174386918,3900.0,82.5
24.0,BS11,201.55555555555554,35.111111111111114,132.33333333333334,29.88888888888889,2.2888396394367128,16 May 2022,0.7032863849765257,0.20732113144758726,3900.0,82.5
24.0,BS11,168.8,79.4,136.8,37.8,0.6864314740974772,18 Mar 2022,0.36019339242546333,0.10471204188481674,3900.0,82.5
24.0,BS11,109.83333333333333,19.5,79.0,13.0,1.7853719080826231,27 May 2022,0.6984536082474228,0.16328331862312445,3900.0,82.5
25.0,BS16,195.33333333333334,32.0,133.66666666666666,25.666666666666668,2.1077006608498174,11 Apr 2022,0.718475073313783,0.18743667679837897,4437.0,105.5
25.0,BS16,158.125,45.0,114.375,39.125,2.07648202576775,16 May 2022,0.556923076923077,0.16055045871559634,4437.0,105.5
25.0,BS16,191.2,77.0,147.8,38.2,0.8201553751198787,18 Mar 2022,0.4258016405667412,0.12802359882005893,4437.0,105.5
25.0,BS16,141.2,41.2,110.2,28.0,1.3858944822290489,27 May 2022,0.5482456140350878,0.1233094669848846,4437.0,105.5
26.0,S5,124.66666666666667,33.0,89.33333333333333,21.333333333333332,1.4565171237473233,11 Apr 2022,0.5813953488372092,0.16510903426791282,880.0,119.0
26.0,S5,183.875,45.875,146.25,34.75,1.7077056116678155,16 May 2022,0.6006528835690969,0.11397198031048845,880.0,119.0
26.0,S5,156.8,91.8,123.6,43.4,0.5047014066841151,18 Mar 2022,0.2614641995172969,0.11840228245363774,880.0,119.0
26.0,S5,160.4,45.4,125.8,35.0,1.7282634821603415,27 May 2022,0.5587949465500486,0.12089447938504545,880.0,119.0
27.0,S9,121.33333333333333,35.666666666666664,89.0,20.333333333333332,1.2283792474124178,11 Apr 2022,0.5456475583864119,0.1537242472266244,508.0,110.5
27.0,S9,176.28571428571428,34.857142857142854,132.85714285714286,28.428571428571427,2.028015585942225,16 May 2022,0.6698240866035182,0.14048059149722733,508.0,110.5
27.0,S9,147.0,88.8,114.2,40.8,0.46514697849681524,18 Mar 2022,0.24681933842239187,0.12557427258805512,508.0,110.5
27.0,S9,184.5,57.5,138.33333333333334,40.0,1.3951296457410065,27 May 2022,0.5247933884297521,0.143004646360351,508.0,110.5
28.0,BS15,113.0,35.333333333333336,87.0,20.0,1.2219273071841947,11 Apr 2022,0.5235955056179774,0.13,2304.0,94.0
28.0,BS15,124.75,39.5,99.125,31.125,1.7094912327899,16 May 2022,0.5190258751902588,0.11446119486320491,2304.0,94.0
28.0,BS15,143.4,95.2,115.2,44.0,0.3912778820426862,18 Mar 2022,0.20201173512154233,0.10904872389791183,2304.0,94.0
28.0,BS15,185.14285714285714,67.71428571428571,139.42857142857142,56.42857142857143,1.7160203617693526,27 May 2022,0.464406779661017,0.14084507042253525,2304.0,94.0
29.0,BS19,117.66666666666667,36.666666666666664,84.33333333333333,24.333333333333332,1.3456424360077792,11 Apr 2022,0.5248380129589633,0.16501650165016507,1090.0,118.0
29.0,BS19,197.42857142857142,42.0,148.42857142857142,35.714285714285715,2.1004281837100836,16 May 2022,0.6491646778042959,0.14167699297810823,1090.0,118.0
29.0,BS19,152.0,105.0,125.2,46.6,0.3544743747720186,18 Mar 2022,0.1828793774319066,0.09668109668109667,1090.0,118.0
29.0,BS19,170.8,60.6,129.8,50.4,1.7652042440833289,27 May 2022,0.47623163353500436,0.13639387890884896,1090.0,118.0
